scheme_name,scheme_link,state,category,description
PMMSY: Establishment of open Sea cages (100-120)m3 vol. - Gujarat,https://www.myscheme.gov.in/schemes/pmmsyeoscguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to support the installation of open sea cages of 100–120 cubic meter capacity for fish farming in marine waters. This helps fishermen and entrepreneurs to undertake cage-based aquaculture, thereby increasing fish production, ensuring sustainable marine resource utilization."
PMMSY : Modernization of Cold storage /Ice Plant - Gujarat,https://www.myscheme.gov.in/schemes/pmmsymcsipguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to strengthen fish storage infrastructure for hygienic preservation. Through this scheme, beneficiaries receive financial assistance for the modernisation of Cold storage /Ice Plant."
PMMSY:  Establishment of Bio-toilets in mechanised fishing vessels - Gujarat,https://www.myscheme.gov.in/schemes/pmmsyebtmfvguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to provide sanitation facilities on mechanised fishing vessels. It provides financial assistance depending on category, with once-in-a-lifetime eligibility."
Chief Minister Scholarship Scheme,https://www.myscheme.gov.in/schemes/cmssg,Gujarat,Education & Learning,"The scheme ""Chief Minister Scholarship Scheme"" by the Education Department, Government of Gujarat, aims to provide financial assistance to meritorious students for pursuing medical, engineering, diploma, and higher education courses."
Namo Saraswati Vignan Sadhana Yojana,https://www.myscheme.gov.in/schemes/nsvsy,Gujarat,Education & Learning,"The scheme ""Namo Saraswati Vignan Sadhana Yojana (8620)"" by the Education Department, Government of Gujarat, aims to promote science education by providing financial assistance to students enrolling in the science stream in Class 11th and 12th."
Swami Vivekanand Scholarship for Technical Diploma in Professional Courses,https://www.myscheme.gov.in/schemes/svstdpc,Gujarat,Education & Learning,The scheme aims to support ST students enrolled in ITIs and recognized training institutes by providing a monthly stipend of ₹400 for a duration of 12 months.
Educational Travel Promotion Scheme,https://www.myscheme.gov.in/schemes/etps,Gujarat,Education & Learning,"The ""Educational Travel Promotion Scheme"" by the Department of Education, aims to promote personality development, observation skills, and curiosity among students through funding educational tours."
Vidhyadeep Yojana,https://www.myscheme.gov.in/schemes/vy,Gujarat,"Banking,Financial Services and Insurance","The scheme aims to provide accidental insurance cover to students studying in all Primary, Secondary, and Higher Secondary schools across Gujarat State. It offers financial assistance up to ₹50,000/- in case of accidental death or permanent disability to the student's parent or successor."
"S.T. Bus Pass Fee Concession Scheme For Government/ Non Government Primary, Secondary & Higher Secondary and Higher Technical Education Students",https://www.myscheme.gov.in/schemes/stbpfcsgngpshshtes,Gujarat,"Travel & Tourism, Education & Learning","The scheme aims to provide concession in bus fare fees to the students studying in Primary, Secondary, Higher Secondary, and Higher Secondary Technical Education in Government and Non-Government schools. The scheme is implemented by the Gujarat State Road Transport Corporation (GSRTC)."
To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Fish Cage Culture - Gujarat,https://www.myscheme.gov.in/schemes/ifspiftfcguj,Gujarat,"Agriculture,Rural & Environment",The scheme aims to increase fish production and provide employment through reservoir-based inland fisheries. It offers financial assistance to Scheduled Tribe fishermen.
To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Fish Seed Rearing by Women - Gujarat,https://www.myscheme.gov.in/schemes/pfspfsrwguj,Gujarat,"Agriculture,Rural & Environment, Women and Child","The scheme aims to increase fish production through inland fisheries and provide employment opportunities, particularly to Scheduled Tribe women engaged in fish seed rearing."
Assistance to OBM Boat Owner Fishermen on Purchase of Kerosene/Petrol,https://www.myscheme.gov.in/schemes/aobofpk,Gujarat,"Agriculture,Rural & Environment",The scheme aims to provide financial assistance to fishermen owning small boats with Outboard Motors (OBM) by subsidizing the cost of kerosene or petrol.
Providing Latest Technology to Group of Pottery Artisans (Energy Efficient Kiln),https://www.myscheme.gov.in/schemes/pltgpa-eek,Gujarat,Business & Entrepreneurship,"The scheme aims to provide latest technology and equipment to pottery artisans for better productivity, improved quality and reduce health risks. It provides 100% financial assistance for energy-efficient kilns to groups of registered clay artisans and potters in Gujarat state."
Handloom Rebate Scheme,https://www.myscheme.gov.in/schemes/hrs-g2,Gujarat,"Business & Entrepreneurship, Social welfare & Empowerment",The scheme provides 10% special rebate for 120 festival days; Additional 5-15% permanent rebates for regular sales; Enhanced 20% rebates for women-led cooperatives. The scheme aims to enhance market competitiveness for Gujarat's handloom cooperatives and apex societies.
Scheme for Awarding Fellowships for Undergraduate and Postgraduate Students,https://www.myscheme.gov.in/schemes/safupgs,Gujarat,Education & Learning,"The ""Scheme for Awarding Fellowships for Undergraduate and Postgraduate Students"" provides financial support in the form of monthly scholarships to students pursuing higher education in various faculties at Anand Agricultural University."
Construction of Water Storage Tanks for Drip Irrigation,https://www.myscheme.gov.in/schemes/cwsdi,Gujarat,"Agriculture,Rural & Environment","The scheme provides financial assistance to farmers across Gujarat for constructing water storage tanks to support drip irrigation, with cost-sharing benefits based on farmer category."
Assistance to Farmers in Purchasing Nano Fertilizers Under the Agricultural Assistance Program for Farmers Other than Scheduled Castes and Scheduled Tribes,https://www.myscheme.gov.in/schemes/apnfuscst,Gujarat,"Agriculture,Rural & Environment","This scheme offers financial assistance to farmers from non-SC/ST categories to support the purchase of Nano Fertilizers, aiming to enhance agricultural productivity and uplift the standard of living of farmers in Gujarat."
Scholarship for Ph.D. Students of Socially and Educationally Backward Classes,https://www.myscheme.gov.in/schemes/sapssebc,Gujarat,Education & Learning,The scheme aims to provide financial assistance to Socially and Educationally Backward Classes (SEBC) students pursuing M.Phil. or Ph.D. to encourage higher education and research.
Swayam Saksham Yojana (GTKVN),https://www.myscheme.gov.in/schemes/sssgtkdc,Gujarat,"Banking,Financial Services and Insurance, Business & Entrepreneurship","The scheme aims to promote economic self-reliance among professionally educated unemployed youth from Thakor & Koli communities, aged between 18 & 35 years, who hold degrees in fields such as Pharmacy, Software/Hardware, Automobile Engineering, Law, Chartered Accountancy, & others."
Uniform Assistance for Economically Backward Class Students Studying in Class 1st to 8th,https://www.myscheme.gov.in/schemes/uaebcsoe,Gujarat,"Education & Learning, Social welfare & Empowerment","The scheme ""Uniform Assistance for Economically Backward Class Students Studying in Class 1st to 8th"" by the Social Justice and Empowerment Department, Gujarat, provides ₹900/- for three pairs of uniforms to students from economically weaker sections in government and aided primary schools."
Saraswati Sadhana Yojana to Socially and Educationally Backward Girls studying in Class 9th,https://www.myscheme.gov.in/schemes/ssyseb,Gujarat,Education & Learning,"Under this scheme, free bicycle assistance is provided to Socially and Educationally Backward class girls studying in Class 9 in government and grant-in-aid schools across Gujarat."
Microcredit Finance Scheme- Self Help Groups (DAADC),https://www.myscheme.gov.in/schemes/mfs-shg,Gujarat,"Business & Entrepreneurship, Banking,Financial Services and Insurance",The scheme aims to promote self-employment for SC individuals. It offers microloans to start small businesses and become economically self-sufficient.
Bankable Scheme,https://www.myscheme.gov.in/schemes/bsg,Gujarat,"Business & Entrepreneurship, Banking,Financial Services and Insurance","The scheme aims to provide financial assistance to scheduled caste persons for self-employment opportunities. Under this scheme, loans are provided for business, industry, or service activities, along with a subsidy of 50% of the loan amount or a maximum of ₹50,000/-."
Loan For Foreign Study (E.B.C.),https://www.myscheme.gov.in/schemes/lfs-ebc,Gujarat,"Banking,Financial Services and Insurance, Education & Learning, Social welfare & Empowerment","The scheme aims to support higher education abroad for eligible students from the Educationally Backward Class (EBC). It provides a maximum Foreign Study Loan of ₹15,00,000/- at an annual interest rate of 4% to EBC students."
Bhagwan Budhdh Scholarship,https://www.myscheme.gov.in/schemes/bbs,Gujarat,"Social welfare & Empowerment, Women and Child","Bhagavan Buddha Post SSC Scholarship launched by the Ministry of Education, Government of Gujarat. A scheme was introduced with the aim to encourage SC girl students to continue their higher studies after SSC."
AGR 2 (Farm Mechanization) Scheme Of Farmers Other Than SC/ST,https://www.myscheme.gov.in/schemes/agr2fmsfotscst,Gujarat,"Agriculture,Rural & Environment","The scheme “AGR 2 (Farm Mechanization) Scheme of Farmers Other Than SC/ST” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat."
Subsidy Scheme For Establishment Of Goat Unit (10+1) For Scheduled Caste People,https://www.myscheme.gov.in/schemes/sseg10scp,Gujarat,"Agriculture,Rural & Environment, Business & Entrepreneurship","The scheme “Subsidy Scheme for Establishment of Goat Unit (10+1) for Scheduled Caste People” was launched by the Dept. of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to uplift economically poor livestock breeders of Gujarat State."
Stipend Scheme For Scheduled Tribes - Poultry Training Stipend,https://www.myscheme.gov.in/schemes/ssst-pts,Gujarat,"Agriculture,Rural & Environment, Skills & Employment","The scheme “Stipend Scheme for Scheduled Tribes - Poultry Training Stipend” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to raise the income of poultry farmers of Schedule Tribes through scientific poultry farming training."
Assistance Scheme for Occupational Diseases (GBOCWWB),https://www.myscheme.gov.in/schemes/asodgbocwwb,Gujarat,"Social welfare & Empowerment, Health & Wellness",The “Assistance Scheme for Occupational Diseases” has been implemented by the Gujarat Building and Other Construction Worker’s Welfare Board (GBOCWWB) to provide financial assistance to registered construction workers for 15 types of occupational diseases and 23 types of serious injuries.
Mukhyamantri Bhagyalaxmi Bond Scheme (GBOCWWB),https://www.myscheme.gov.in/schemes/mbbsgbocwwb,Gujarat,"Social welfare & Empowerment, Women and Child","The scheme has been implemented with the objective of ""Beti Bachao Beti Padhao"" to prevent female foeticide and to meet the education and marriage expenses of the daughter of a construction worker."
Shramyogi Cycle Subsidy Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/scss-glwb,Gujarat,Social welfare & Empowerment,"The objective of the scheme is to provide a subsidy for the purchase of a bicycle to laborers working in the organized sector, enabling them to commute between their residence and workplace."
Laptop Purchase Assistance Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/lpas-glwb,Gujarat,Social welfare & Empowerment,"The objective of the scheme is to encourage the children of laborers who are enrolled in professional or design courses by providing assistance for purchasing laptops, thereby reducing the financial burden of education."
Private Tuition Assistance to Scheduled Caste Students Studying in Standard 11th & 12th (General Stream),https://www.myscheme.gov.in/schemes/ptascsss1112gs,Gujarat,Education & Learning,"Under the scheme, financial assistance is provided to Scheduled Caste (SC) students who are studying in Standard 11th and 12th (General Stream) and have obtained 75% or more marks in the 10th Standard for private coaching fees, as per merit prepared at state level up to 100 students."
Fellowship Scheme for M.Phil & Ph.D for Scheduled Caste Students (Maharaja Sayajirao Gayakvad Scholarship),https://www.myscheme.gov.in/schemes/fsmpscsmsgs,Gujarat,Education & Learning,"Under this scheme, Scheduled Caste students pursuing M.Phil and Ph.D. programs at any recognized universities will receive a monthly fellowship."
Dr. P. G. Solanki Scheme for Loan/Assistance to Medical Graduate Doctors of Scheduled Caste,https://www.myscheme.gov.in/schemes/dpgsslamgsc,Gujarat,"Banking,Financial Services and Insurance",The scheme was launched in the year 1976 with the objective to provide loans/assistance to the Scheduled Caste category doctors to start their independent profession.
Prosthetic Aid and Appliances for Person with Disabilities,https://www.myscheme.gov.in/schemes/paapwd,Gujarat,Social welfare & Empowerment,"Under this scheme, a Person with Disabilities with 40% or more disability is given relief in his/her disability as well as equipment for self-employment within the limit of ₹20,000/-. The scheme is fully funded by the state government."
Assistance for Power Driven Chaff Cutter Scheme under Tribal Area Sub Plan (TASP- ST Category),https://www.myscheme.gov.in/schemes/apdccstaspstc,Gujarat,"Agriculture,Rural & Environment","The scheme provides financial assistance to dairy farmers belonging to ST category on purchase of electric powered chaff cutters. By using power driven chaff cutter, dairy farmers can reduce wastage of green & dry fodder which is economically important for their profitable dairy farming."
Free Travel in S.T Bus to the Disabled Persons,https://www.myscheme.gov.in/schemes/ftstbdp,Gujarat,"Travel & Tourism, Social welfare & Empowerment","Under this scheme, the benefit of free travel in all types of busses of the Gujarat State Road Transport Corporation is provided to Person with Disabilities in all state routes and also provides the benefit of travel to the last route out of state."
Mukhyamantri Matrushakti Yojana,https://www.myscheme.gov.in/schemes/mmyg,Gujarat,"Social welfare & Empowerment, Health & Wellness",The scheme aims to enhance maternal and child health by providing nutritional support to first-time pregnant women and mothers of young children during the crucial first 1000 days of life.
Food Bill Assistance,https://www.myscheme.gov.in/schemes/fbs,Gujarat,"Education & Learning, Social welfare & Empowerment","The ""Food Bill Assistance"" scheme provides financial support to non-reserved category students pursuing graduate-level medical, dental, technical, and para-medical courses."
Interest Help Scheme For Graduate Doctor-Lawyer-Technical Graduate,https://www.myscheme.gov.in/schemes/ihsfg,Gujarat,"Education & Learning, Social welfare & Empowerment","The ""Interest Help Scheme for Graduate Doctor-Lawyer-Technical Graduate"" aims to provide financial assistance in the form of interest subsidy on loans to the non-reserved category professionals in Gujarat."
Scheme to Provide Financial Assistance to Purchase Solar Power Unit/Kit for Solar Fencing around the Farm,https://www.myscheme.gov.in/schemes/spatsp,Gujarat,"Agriculture,Rural & Environment","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance to farmers for purchasing solar power units/kits for solar fencing around their farms to protect crops from damage caused by wild and stray animals."
Subsidy Scheme on Establishment of 25 R.I.R. Bird’s unit 40 R.I.R. Bird’s Unit and Stipend for Poultry Farming Training,https://www.myscheme.gov.in/schemes/ssebbup,Gujarat,"Agriculture,Rural & Environment","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat. It aims to provide financial assistance and training to economically weaker sections and Divyang individuals in Gujarat for poultry farming."
Providing Navigational Aids and Other Infrastructure Facilities,https://www.myscheme.gov.in/schemes/pnaoif,Gujarat,"Agriculture,Rural & Environment","This scheme has been introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat. It aims to support fishermen by providing financial assistance for purchasing essential fishing equipment, life-saving gear, and infrastructure to enhance safety, efficiency, and fish preservation."
Establishment of 50 Milch Animals Dairy Unit,https://www.myscheme.gov.in/schemes/emadu,Gujarat,"Agriculture,Rural & Environment","The ""Establishment of 50 Milch Animals Dairy Unit"" scheme introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to provide financial aid to livestock owners for setting up dairy farms, ensuring sustainable dairy production."
Use of Advanced Drone Technology (Agriculture Aircraft) in Agriculture Sector,https://www.myscheme.gov.in/schemes/uadtas,Gujarat,"Agriculture,Rural & Environment","The scheme ""Use of Advanced Drone Technology (Agriculture Aircraft) in Agriculture Sector"" introduced by the Agriculture, Farmers Welfare and Cooperation Dept., Gujarat, aims to promote the use of advanced drone technology for spraying crop protection chemicals and bio-fertilizers, etc."
Development of Brackish Water Aquaculture,https://www.myscheme.gov.in/schemes/dbwa,Gujarat,"Agriculture,Rural & Environment","The scheme ""Development of Brackish Water Aquaculture"" introduced by the Agriculture, Farmers Welfare and Cooperation Department, Gujarat, aims to support the development of brackish water aquaculture through financial assistance for infrastructure, equipment, and modern shrimp farming techniques."
Assistance of Concentrate Feed for Pregnant Animals (Scheduled Tribe Category),https://www.myscheme.gov.in/schemes/acfpast,Gujarat,"Agriculture,Rural & Environment","This scheme provides free BIS type II concentrate feed to pregnant cattle owned by Scheduled Tribe Category livestock owners in Gujarat to ensure their good health, boost immunity, prevent metabolic diseases, and enhance milk production."
Uniform Assistance for Other Backward Classes (Minority) Students Studying in Standard 1st to 8th,https://www.myscheme.gov.in/schemes/uaobcmoe,Gujarat,"Education & Learning, Social welfare & Empowerment","The scheme ""Uniform Assistance for Other Backward Classes (Minority) Students Studying in Standard 1st to 8th"" by the Social Justice and Empowerment Department, Gujarat, aims to promote educational inclusivity among minority OBC students by providing financial assistance of ₹900/- for uniforms."
Stipends to Students of NT/DNT Caste for Technical and Vocational Courses after SSC,https://www.myscheme.gov.in/schemes/ssntdnttv,Gujarat,Education & Learning,"The scheme “Stipends to Students of NT/DNT Caste for Technical and Vocational Courses after SSC” by the Social Justice and Empowerment Department, Government of Gujarat, supports education for NT/DNT Caste students by providing a monthly stipend for one year."
Award of Fellowship to Most Eminent Artist,https://www.myscheme.gov.in/schemes/aoftmea,Gujarat,Sports & Culture,"The scheme aims to honor senior eminent artists through the provision of financial assistance in the form of a monthly fellowship of ₹5,000/- for one year to support their continued contribution to the field of plastic arts."
Publication Support Scheme for Fine Arts,https://www.myscheme.gov.in/schemes/pssffa,Gujarat,Sports & Culture,"The scheme ""Publication Support Scheme for Fine Arts"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat, aims to encourage the publication of fine arts books through financial assistance provided to artists and art institutions."
Ambubhai Purani Award,https://www.myscheme.gov.in/schemes/apyg,Gujarat,Sports & Culture,"The scheme ""Ambubhai Purani Award"" by the Sports, Youth and Cultural Activities Department, Gujarat, aims to recognize outstanding contributions in the field of gymnasiums (Akhadas) through the conferment of the Gymnasium Jyotirdhar Ambubhai Purani Award and financial assistance of ₹51,000/-."
Manav Kalyan Yojana,https://www.myscheme.gov.in/schemes/mky-gujarat,Gujarat,"Business & Entrepreneurship, Social welfare & Empowerment","The scheme provides toolkit assistance (e-vouchers) to economically weak individuals (annual income ≤ ₹6,00,000/-) for self-employment in 10 trades like dairy, plumbing, and beauty parlors. Beneficiaries include SC/ST, nomadic tribes, and BPL families."
Small Scale Lending Scheme (Microfinance),https://www.myscheme.gov.in/schemes/ssls-m,Gujarat,"Social welfare & Empowerment, Banking,Financial Services and Insurance","The scheme aims to provide microcredit to the small entrepreneurs of the target group. It provides loans up to ₹1,25,000/- at 5% interest rate to eligible beneficiaries belonging to the Rabari and Bharwad castes."
Pandit Omkarnath Classical Music Festival and Awards,https://www.myscheme.gov.in/schemes/pocmfa,Gujarat,Sports & Culture,"The scheme ""Pandit Omkarnath Classical Music Festival and Awards"" by the Sports, Youth and Cultural Activities Department, Government of Gujarat aims to honor and encourage contributions in classical music through national-level awards and recognition to eminent male classical music artists."
Girnar Arohan-Avrohan Competition,https://www.myscheme.gov.in/schemes/gaac,Gujarat,Sports & Culture,"The scheme “Girnar Arohan-Avrohan Competition” by the Department of Sports, Youth and Cultural Activities aims to promote physical fitness and competitive spirit among citizens through a state-level stair-climbing competition on Mount Girnar, offering cash prizes to the top 10 winners."
International Financial Assistance,https://www.myscheme.gov.in/schemes/ifag,Gujarat,Sports & Culture,"The scheme ""International Financial Assistance"" by the Sports, Youth and Cultural Activities Department, aims to promote participation of Gujarat sportspersons in international competitions through financial support of ₹75,000/- for travel, accommodation, and other related expenses."
Trekking in Coastal Area for Scheduled Caste,https://www.myscheme.gov.in/schemes/tcasc,Gujarat,Sports & Culture,"The scheme ""Trekking in Coastal Area for Scheduled Caste"" by the Sports, Youth and Cultural Activities Dept., aims to promote cultural awareness and coastal resource understanding by organizing guided trekking tours for Scheduled Caste youths aged 15 to 35 across the coastal region of Sagarkantha."
Pradhan Mantri Matsya Sampada Yojana (PMMSY-Inland): Small Biofloc Establishment Gujarat,https://www.myscheme.gov.in/schemes/pmmsysbeguj,Gujarat,"Agriculture,Rural & Environment",The scheme aims to increase inland fish production and generate employment through innovative fish farming techniques like Biofloc and RAS.
National Mission for Sustainable Agriculture - Reinforced Area Development,https://www.myscheme.gov.in/schemes/nmsa-radg,Gujarat,"Agriculture,Rural & Environment","The scheme ""National Mission for Sustainable Agriculture - Reinforced Area Development"" aims to promote sustainable agriculture through improved agronomic practices, efficient resource use, and integrated farming systems by providing financial support to all farmers."
Scheme for Fruit and Vegetable Preservation and Training Program in Horticulture Department HRT 5,https://www.myscheme.gov.in/schemes/sfvptphdf,Gujarat,"Agriculture,Rural & Environment, Skills & Employment","The ""Scheme for Fruit and Vegetable Preservation and Training Program in Horticulture Department HRT 5"" aims to enhance the skills of women through training on value addition, preservation, and kitchen gardening of horticultural produce, while also providing a daily stipend and training support."
Assistance for Protected Cultivation,https://www.myscheme.gov.in/schemes/afpc,Gujarat,"Agriculture,Rural & Environment","The scheme “Assistance for Protected Cultivation” by the Agriculture and Co-operation Department, Government of Gujarat aims to promote protected horticulture practices by providing financial assistance to farmers for mulching, plug nursery, polyhouse, shed net house, and nursery development."
Distribution of Seeds of more productions varieties/ Hybrids varieties Seeds and fertilizer at subsidies etc. to Adivasi farmers in Tribal Area: Agricultural Fair/Exhibition/Farmer Camp Gujarat,https://www.myscheme.gov.in/schemes/dspvhfafefcguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to improve the agricultural productivity and the livelihood of Adivasi farmers. It provides hybrid seeds, fertilizers, equipment, and support for agricultural fairs."
National Mission on Edible Oil- Oil Palm: Replanting of Old Oil Palm Garden,https://www.myscheme.gov.in/schemes/nmoerop,Gujarat,"Agriculture,Rural & Environment","The scheme component ""Replanting of Old Oil Palm Garden"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to enhance oil palm production and lower dependency on imports by supporting farmers in uprooting and replanting old oil palm gardens."
Distribution of Seeds of more productions varieties/ Hybrids varieties Seeds and fertilizer at subsidies etc. to Adivasi farmers in Tribal Area: Pump Set (TASP & OTASP) Gujarat,https://www.myscheme.gov.in/schemes/dsmpvhvfpsguj,Gujarat,"Agriculture,Rural & Environment",The scheme aims to improve agricultural productivity and livelihood. It provides subsidized pump sets and farm inputs to Scheduled Tribe farmers (except Dang district).
Distribution of Seeds of more productions varieties/ Hybrids varieties Seeds and fertilizer at subsidies etc. to Adivasi farmers in Tribal Area: Power Operated Plant Protection Equipment Gujarat,https://www.myscheme.gov.in/schemes/dsmpvhfpopeguj,Gujarat,"Agriculture,Rural & Environment",The scheme aims to help farmers belonging to scheduled tribes and tribal cultivators residing outside tribal areas achieve higher production of agricultural crops and improve their livelihood.
National Mission on Edible Oil- Oil Palm: Harvesting Tools,https://www.myscheme.gov.in/schemes/nmoeht,Gujarat,"Agriculture,Rural & Environment","The scheme component ""Harvesting Tools"" launched under the ""National Mission on Edible Oil–Oil Palm"" scheme aims to increase the production of oil palm and reduce its import by providing subsidies for various harvesting tools to farmers in the state."
Rotavator/Thresher Machine Equipment Assistance Scheme,https://www.myscheme.gov.in/schemes/rtmeas,Gujarat,"Agriculture,Rural & Environment",The scheme aims to support BPL Scheduled Tribe farmers in tribal areas by providing financial assistance to purchase rotavators and thresher machines.
Swami Vivekananda Exam Oriented Residential Training,https://www.myscheme.gov.in/schemes/sveort,Gujarat,Education & Learning,"The scheme aims to provide exam-oriented residential training for aspiring candidates seeking recruitment in defence and police forces. It offers comprehensive coaching and preparation for Army, Air Force, Navy, Paramilitary and Police recruitment examinations."
PMMSY: Refrigerated vehicles - Gujarat,https://www.myscheme.gov.in/schemes/pmmsyrvguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to provide financial assistance for the purchase of vehicles. Through this scheme, subsidy benefits are provided to general, women, and SC/ST category beneficiaries."
6% Interest Subsidy on Loans taken through Banks up to a Limit of Rs.5 Lakh for Self-Employment,https://www.myscheme.gov.in/schemes/6islbse,Gujarat,"Skills & Employment, Business & Entrepreneurship","The scheme aims to promote self-employment among scheduled tribe (ST) individuals by making business loans affordable. Under this scheme, ST beneficiaries availing loans for self-employment are provided a interest subsidy to reduce financial burden and encourage entrepreneurship."
Kutirjyoti Yojana Gujarat,https://www.myscheme.gov.in/schemes/kyg,Gujarat,Utility & Sanitation,The scheme aims to provide free household electricity connections to Scheduled Tribe families in tribal areas.
Pandit Omkarnath Music Competition,https://www.myscheme.gov.in/schemes/pomc,Gujarat,Sports & Culture,"The scheme aims to honour the memory of Pandit Omkarnath and promote classical music among young artists by organizing competitive platforms for singing, vocal, and percussion performances. Classical music artists in two age categories can participate."
Grant In Aid Hostels,https://www.myscheme.gov.in/schemes/giah,Gujarat,"Social welfare & Empowerment, Housing & Shelter, Transport & Infrastructure","The scheme aims to provide boarding and lodging facilities to tribal students who wish to pursue primary, secondary and higher secondary education. Free lodging and boarding facilities are provided to intended beneficiaries who are students studying in standards 5th to 12th."
Doodh Sanjeevani Yojana,https://www.myscheme.gov.in/schemes/dsy-g,Gujarat,"Health & Wellness, Women and Child","The scheme aims to provide fortified, flavored, double toned pasteurized milk to students, pregnant women and lactating women. The scheme is implemented by the Anganwadi Centers and also by the Child Development Project Officers."
Manav Garima Yojana DCW (Minority),https://www.myscheme.gov.in/schemes/manavgarimaminorityguj,Gujarat,Social welfare & Empowerment,"The scheme aims to enable minority persons to become self-employed through business toolkits and support. Under this scheme, business tool-kits are provided to eligible persons from such groups, so they can set up small businesses."
To Increase Fish Seed Production and Inland Fisheries Resources in Tribal Areas: Training of Tribal Trainees - Gujarat,https://www.myscheme.gov.in/schemes/ifptraininguj,Gujarat,"Agriculture,Rural & Environment","The scheme aims to boost fish production and provide employment through inland fisheries. Under this scheme, Financial assistance is provided as a scholarship to tribal trainees undergoing fisheries training."
Fellowship for the Post-Graduate Students in Various Faculties Various Faculties of Sardarkrushinagar Dantiwada Agricultural University,https://www.myscheme.gov.in/schemes/fpgsdau,Gujarat,Education & Learning,"The scheme ""Fellowship for the Post-Graduate Students in Various Faculties Various Faculties of Sardarkrushinagar Dantiwada Agricultural University"" provides a monthly fellowship to meritorious Post-Graduate students across various faculties of Sardarkrushinagar Dantiwada Agricultural University."
Assistance in Packing Materials under Post Harvest Management of Horticultural Produce,https://www.myscheme.gov.in/schemes/apmuphmh,Gujarat,"Agriculture,Rural & Environment",The scheme provides financial assistance to farmers to procure packing materials like corrugated and wooden boxes for post-harvest management of horticultural produce.
Assistance Program for the Cultivation of Lotus Fruit (Dragon Fruit),https://www.myscheme.gov.in/schemes/apclfdf,Gujarat,"Agriculture,Rural & Environment","The scheme provides financial assistance to farmers to support the cultivation of dragon fruit (lotus fruit), with higher benefits for SC/ST and priority for small-scale and women farmers."
Assistance Program for Planting in Floriculture,https://www.myscheme.gov.in/schemes/apfpf,Gujarat,"Agriculture,Rural & Environment","The scheme offers financial assistance to farmers in Gujarat for the cultivation of floriculture crops, including loose, cut, and tuberous flowers, based on crop type and farmer category."
Vehicle Loan Scheme (GTKVN),https://www.myscheme.gov.in/schemes/tsgtkvn,Gujarat,"Transport & Infrastructure, Banking,Financial Services and Insurance, Skills & Employment","The scheme aims to promote self-employment among youth from the Thakor and Koli communities by providing loans of up to ₹4,00,000/- for the purchase of commercial vehicles such as auto-rickshaws, loading rickshaws, or a Maruti Eeco van to start an income-generating transport business."
Pre-Matric Scholarship for the Students of Minority Castes,https://www.myscheme.gov.in/schemes/pmssmc,Gujarat,Education & Learning,The scheme aims to support education among minority students by providing financial assistance from class 1st to 10th in government and aided schools.
Term Loan Scheme (GTKVN),https://www.myscheme.gov.in/schemes/tlsbgtkvn,Gujarat,"Banking,Financial Services and Insurance, Business & Entrepreneurship","The scheme aims to promote self-employment among individuals from the Thakor and Koli communities by providing financial assistance up to ₹10,00,000/- for agriculture and allied activities, small-scale businesses, craftsmanship, traditional occupations, and service-based businesses/trades."
Assistance for Purchasing Study Materials for Medical and Engineering Students from Socially and Educationally Backward Classes,https://www.myscheme.gov.in/schemes/iamessec,Gujarat,Education & Learning,"The scheme aims to provide financial assistance to students from socially and educationally backward classes pursuing medical and engineering diploma or degree courses to support their education. Under this scheme, eligible students are provided a one-time grant for purchasing study materials."
Post SSC Scholarship for Boys/Girls from Socially and Educationally Backward Classes,https://www.myscheme.gov.in/schemes/psscsbg,Gujarat,Education & Learning,"The scheme aims to provide financial assistance to students from Socially & Educationally Backward Classes and Nomadic & De-notified Tribes pursuing education after SSC. Under this scheme, eligible students receive yearly scholarships ranging from ₹1,500 to ₹5,000, depending on their academic group."
Various Awards to Individuals/Organizations who have made Outstanding Contributions in the Field of Social Welfare,https://www.myscheme.gov.in/schemes/vaioocfsw,Gujarat,Social welfare & Empowerment,"The scheme aims to recognize and honor the exceptional work carried out by individuals and organizations in the field of social welfare, particularly benefiting the Scheduled Caste (SC) community. Under this scheme, awards along with financial assistance are provided as a mark of appreciation."
