scheme_name,scheme_link,state,category,details,benefits,eligibility,application_process,documents_required,error
Shri Vajpayee Bankable Yojana,https://www.myscheme.gov.in/schemes/svby,Gujarat,"Banking,Financial Services and Insurance","Details
This scheme aims to supply self-employment to unemployed persons in urban and rural areas. Disabled and blind persons are also eligible to take benefits under this scheme","Benefits
 Maximum Limit for Bank Loan 
    ₹.8.00 lakh for the Industries sector.
    ₹.8.00 lakh for the Service sector.
    ₹.8.00 lakh for the Business sector.
﻿

Rate of subsidy on the loan amount: Subsidy will be available as mentioned below for the Industries, Service & Business sectors.
Area	General Category	Scheduled Castes/ Scheduled Tribes / Ex-serviceman/Women/ blind or handicapped having 40% or more disability
Rural	25%	40%
Urban	20%	30%
﻿

Maximum Limit of Subsidy
S No. 	Sector	Limit of Subsidy Amount
1	Industries	Rs. 1,25,000/-
2	Service	Rs. 1,00,00/-
3	Business	General Category:  Urban-  Rs. 60,000/-   Rural Rs. Rs. 75,000/-
4	Business	Reserve Category:  Urban/ Rural Rs. 80,000/-
﻿

Note: The maximum limit of subsidy per beneficiary in any sector will be ₹.1,25,000/- for a blind or handicapped person","Eligibility 
Age: 18 to 65 years.
Qualification: The applicant should have passed the minimum standard fourth OR, Training/ Experience: Should have undergone training for a minimum of three months from the private establishment or a minimum of one month from Government recognized Institutes, in the area of the proposed business or should have experience of minimum 1 year in the same activity or should be a hereditary craftsperson.
No Income criteria","Online
Offline
Application Process 
Visit the official website https://blp.gujarat.gov.in/header_home.php or click here.
Do the registration process with the mobile OTP authentication process.
Provide the details in Citizen Register by entering name, email, password and captcha code, the login process has to be completed by clicking on Register
Provide applicant details (Aadhar Number, Address, Enter all details based on other documents).
Other information related to Project Details & Business Details, Finance Required / Project Cost and Detail Of Experience /Training will also have to be filled and click on Save & Next.
Upload the necessary documents.","List of the required documents
Aadhar card copy.
Vocational Training Certificate.
Educational qualification certificate.
Caste certificate.
Address proof.
Passport-size photocopy.
Proof of details of the applicant.
Bank account passbook.
School or college identity card.
Place of business.",
AGR 3 (Farm Mechanization) Scheme For ST Farmers,https://www.myscheme.gov.in/schemes/agr3fmsstf,Gujarat,"Agriculture,Rural & Environment","The scheme “AGR 3 (Farm Mechanization) Scheme for ST Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat. Under the scheme, seeds of more production varieties/Hybrids varieties and fertilizer at subsidies, etc. will be distributed to Adivasi farmers in Tribal Areas (TASP). The Government is trying to get the higher production of the agricultural crops of the farmers belonging to scheduled tribe and the tribal cultivator residing outside tribal areas to improve their livelihood.
           The main objective of the scheme is to maximize farmers' attempts to buy and use Plant protection equipment, Tarpaulin, Field Demonstration, Micronutrients, Water carrying pipelines, Agriculture fair, Organic Fertilizer, Pump set, the premium for Farmers 100% Water Soluble Fertilizers, Pesticides, accidental insurance scheme, etc. for increase the crop production according to scientific recommendations so they can get higher production of the agricultural crops and improve their livelihood. Thus scheme is 100% sponsored by the state government.","The beneficiary will get financial assistance for the purchase of agricultural equipment/components such as Plant protection equipment, Tarpaulin, Field Demonstration, Micronutrients, Water carrying pipeline, Agriculture fair, Organic Fertilizer, Pump set, the premium for Farmers 100% Water Soluble Fertilizers, Pesticides, accidental insurance scheme, etc.
Under the scheme, seeds of more production varieties/Hybrids varieties and fertilizer, etc. will be distributed at a subsidized rate to Adivasi farmers in Tribal Areas (TASP).","The beneficiary should be a permanent resident of Gujarat State.
Any farmer of Gujarat State who belongs to the Scheduled Tribe category (in 208 talukas where the SMAM scheme is not implemented) is eligible under this scheme.
In the areas of Talukas (Blocks) and Districts which are benefited/added under the Agriculture Support Program in Tribal Area Sub Plan & Dispersed Tribes (TASP) can get the benefit of this Scheme.
The beneficiary farmer must purchase the agricultural equipment from the authorized manufacturer of the included manufacturer in the panels prepared for the purpose of periodic disclosed prize discovery by the Agriculture office/department.","Online
Step 01: To avail the benefits of the scheme, the beneficiary has to apply online at I-Khedut Portal. https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm_Public_SchemeDetails.aspx﻿
Step 02: Click on “Click here for details” in the Farming Schemes Section.
Step 03: Now, the applicant needs to select the desired scheme component on the portal. (The Apply button will appear automatically in components that are currently accepting applications.)
Step 04: Read the instruction carefully and choose the option ‘Yes’ or ‘No’ for “Are you a registered applicant?” and click on “Click to proceed”.
Step 05: Click on the ""Click to Apply Newly"" button and submit a new application.
Step 06: Click on the ""Click to Update Application"" button to add corrections to the application.
Step 07: Click on ""Click to confirm the application"" and confirm the application. Once the application is done, confirm it. Confirmation is required after saving the application. Only confirmed applications will be considered. Unconfirmed applications will not be considered taken on ikhedut portal.
Step 08: Take a printout of the confirmed application. The applicant has to take a printout of this application and keep it for further reference.
Note 09: For this scheme, the District Agriculture Officer of the concerned district has to be contacted whose information is available on i-khedut portal. https://ikhedut.gujarat.gov.in/Public/frm_Public_Contacts.aspx﻿
﻿

Note 01: On-line application is required to be submitted on the portal during the prescribed time.
Note 02: Pre-approval for purchase is given as per the application and you purchase the equipment/materials as per the pre-approval within the stipulated time frame as per the rules, all the supporting evidence mentioned in the pre-approval order and the supporting evidence along with the signed copy of this application have to be submitted along with the assistance proposal.
Note 03: If wrong/incomplete documents are uploaded online by the beneficiary, such application will not be inwarded online. In such circumstances, the beneficiary has to submit the remaining/correct documents to the concerned office within seven days of application.
Note 04: After the application is confirmed, the application will not be updated.
Note 05: The print of the application can be taken only after the application is confirmed.","Government-approved photo ID i.e. Aadhaar Card, Voter ID Card
Basis (evidence) for land (if applicable)
Caste Certificate (by competent authority)
Disability Certificate from Competent Authority (only for disabled) (if applicable)
Ration Card (if applicable)
Bank account details
Beneficiary's Undertaking/Consent Form",
AGR-50 Scheme-Assistance To Purchase Tractors,https://www.myscheme.gov.in/schemes/agr50s-apt,Gujarat,"Agriculture,Rural & Environment","The scheme “AGR-50 Scheme-Assistance to Purchase Tractors” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat in the year 2011-12. The scheme was implemented for the farmers to help in buying the tractor in the state. Further, the scheme has been started in the state, considering the tractor's importance, to increase farm mechanization in the state and the demand of farmers from the society.
       The cost of the tractor was different in the whole state. As a result, small-scale farmers who could not negotiate had to pay a higher price. In order to become available to all the farmers in the state at a price and competitive prices in the state, the model of the tractor companies has been empanelled from the year 2014-15. A tractor is an essential tool for expanding farm mechanization and increasing farm power availability. To adopt power-operated tools/impalements farmers must have a tractor, so assistance is given to farmers for the purchase of tractor. This scheme is a 100% state-sponsored scheme.","1.	The financial assistance is given to farmers for the purchase of tractors as below:
    a)	Upto 40 PTO HP Model Tractors: 25% of expense or ₹45,000/-, whichever is less.
    b)	Above 40 PTO HP and up to 60 PTO HP Model Tractors: 25% of expense or ₹60,000/-, whichever is less.","The beneficiary should be a permanent resident of Gujarat State.
Any farmer of Gujarat state is eligible under this scheme.
The beneficiary farmer has to purchase the empaneled tractor model of the manufacturer included in the empanelment prepared for the purpose of prize discovery announced by the agriculture department from time to time for tractors from their authorized dealer.","Online
Step 01: To avail of the benefits of the scheme, the beneficiary has to apply online at I-Khedut Portal. https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm_Public_SchemeDetails.aspx﻿
Step 02: Click on “Click here for details” in Farming Schemes Section.
Step 03: Check the details of the “AGR-50” scheme corresponding to “Tractor-empaneled vendors”.
Step 04: Read the instruction carefully and choose the option ‘Yes’ or ‘No’ for “Are you a registered applicant?” and click on “Click to proceed”.
Step 05: Click on the ""Click to Apply Newly"" button and submit a new application.
Step 06: Click on the ""Click to Update Application"" button to add corrections to the application.
Step 07: Click on ""Click to confirm the application"" and confirm the application. Once the application is done, confirm it. Confirmation is required after saving the application. Only confirmed applications will be considered. Unconfirmed applications will not be considered taken on ikhedut portal.
Step 08: Take a printout of the confirmed application. The applicant has to take a printout of this application and keep it for further reference.
Step 09: For this scheme, the District Agriculture Officer of the concerned district has to be contacted whose information is available on i-khedut portal. https://ikhedut.gujarat.gov.in/Public/frm_Public_Contacts.aspx﻿
﻿

Note 01: On-line application is required to be submitted on the portal during the prescribed time.
Note 02: Pre-approval for purchase is given as per the application and you purchase the equipment/materials as per the pre-approval within the stipulated time frame as per the rules, all the supporting evidence mentioned in the pre-approval order and the supporting evidence along with the signed copy of this application have to be submitted along with the assistance proposal.
Note 03: If wrong/incomplete documents are uploaded online by the beneficiary, such application will not be inwarded online. In such circumstances, the beneficiary has to submit the remaining/correct documents to the concerned office within seven days of application.
Note 04: After the application is confirmed, the application will not be updated.
Note 05: The print of the application can be taken only after the application is confirmed.","Government-approved photo ID i.e. Aadhaar Card,
Basis (evidence) for land (if applicable)
Caste Certificate (by competent authority) (if applicable)
Disability Certificate from Competent Authority (only for disabled) (if applicable)
Ration Card 
Bank account details
Beneficiary's Undertaking/Consent Form",
Stipend Scheme For Poultry Farming Training For Schedule Caste,https://www.myscheme.gov.in/schemes/sspftsc,Gujarat,"Agriculture,Rural & Environment, Skills & Employment","The scheme “Stipend Scheme for Poultry Farming Training for Schedule Caste” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to raise the income of poultry farmers of Scheduled Caste by scientific poultry farming training. Under this scheme, the beneficiary will be given a maximum ₹2000 (direct in bank account) stipend for six days of training and a poultry training certificate after completion of training.","The beneficiary will be given maximum ₹2000 (direct in bank account) stipend for six days training. (Considering ₹300/- per day, ₹1800/- for 6 days as daily allowance and ₹200/- as to & fro transport fare with the maximum total stipend ₹2000/-)
Beneficiary will be given poultry training certificate after completion of training.","The benefits of this scheme will only be given to the adult of Schedule Caste people of the society of Gujarat State.
Beneficiary will have to provide income proof and caste certificate.
Females and beneficiaries Below Poverty Line will be given beneficiary priority.","Online
Offline
Step 01: The beneficiary has to apply online at I-Khedut Portal. https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm_Public_ANH2_SchemeApplicaiton.aspx﻿
Step 02: Click on the ""Apply New"" button and submit a new application.
Step 03: Click on the ""Update Application"" button to add corrections to the application.
Step 04: Once the application is done, confirm it. The application must be confirmed within seven days from the date of saving the online application.
Step 05: The application must be signed and submitted along with the supporting documents to the office address mentioned on the application” or “Application confirmed within seven days from the date of saving the online application Scanned copy of the application and other documents can be uploaded after confirming the application
Step 06: Take a printout of the confirmed application.
Note 01: It is mandatory to take a printout of the application (only applying online will not count as an application).
Note 02: Take a printout of the online application and submit it along with necessary documents to the office/office address mentioned on the application or after applying online on the I-Khedut Portal, take a printout of the application and scan it with signature/thumbprint and ""Signed Application Print"" on the portal. A copy can be uploaded by clicking on Upload"" menu. ""Other Document Upload"" wherever applicable.
Note 03: The application will be inwardly taken online by the concerned officer/office only if the correct and sufficient documents are uploaded along with the application signed/fingerprinted by the beneficiary.
Note 04: If wrong/incomplete documents are uploaded online by the beneficiary, such application will not be inwarded online. In such circumstances, the beneficiary has to submit the remaining/correct documents to the concerned office within seven days of application.
Note 05: Scanned copy uploaded in PDF format should not exceed 200 KB in size.","Identity proof i.e. Aadhaar Card, Voter ID Card
Income Proof Certificate
Below Poverty Line Card (If applicable)
Residence proof
Caste Certificate
Disability Certificate from Competent Authority (only for PWDs) (if applicable)
Barcoded Ration Card (if applicable)
Savings Account Bank Passbook or Cancelled Check (if applicable)",
Stipend Scheme For Poultry Farming Training For Divyang People,https://www.myscheme.gov.in/schemes/sspftdp,Gujarat,"Agriculture,Rural & Environment, Skills & Employment","The scheme “Stipend Scheme for Poultry Farming Training for Divyang People” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to raise the income of Divyang poultry farmers through scientific poultry farming training. Under this scheme, the beneficiary will be given a maximum ₹2000 (direct in bank account) stipend for six days of training and a poultry training certificate after completion of training.","The beneficiary will be given maximum ₹2000 (direct in bank account) stipend for six days training. (Considering ₹300/- per day, ₹1800/- for 6 days as daily allowance and ₹200/- as to & fro transport fare with the maximum total stipend ₹2000/-)
Beneficiary will be given poultry training certificate after completion of training.","The benefits of this scheme will only be given to the adult of Divyang people of the society of Gujarat State.
The beneficiary will have to provide an income proof certificate.
Females and beneficiaries Below Poverty Line will be given priority.","Online
Offline
Step 01: The beneficiary has to apply online at I-Khedut Portal. https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm_Public_ANH2_SchemeApplicaiton.aspx ﻿
Step 02: Click on the ""Apply New"" button and submit a new application.
Step 03: Click on the ""Update Application"" button to add corrections to the application.
Step 04: Once the application is done, confirm it. The application must be confirmed within seven days from the date of saving the online application.
Step 05: The application must be signed and submitted along with the supporting documents to the office address mentioned on the application” or “Application confirmed within seven days from the date of saving the online application Scanned copy of the application and other documents can be uploaded after confirming the application
Step 06: Take a printout of the confirmed application.
Note 01: It is mandatory to take a printout of the application (only applying online will not count as an application).
Note 02: Take a printout of the online application and submit it along with necessary documents to the office/office address mentioned on the application or after applying online on the I-Khedut Portal, take a printout of the application and scan it with signature/thumbprint and ""Signed Application Print"" on the portal. A copy can be uploaded by clicking on Upload"" menu. ""Other Document Upload"" wherever applicable.
Note 03: The application will be inwardly taken online by the concerned officer/office only if the correct and sufficient documents are uploaded along with the application signed/fingerprinted by the beneficiary.
Note 04: If wrong/incomplete documents are uploaded online by the beneficiary, such application will not be inwarded online. In such circumstances, the beneficiary has to submit the remaining/correct documents to the concerned office within seven days of application.
Note 05: Scanned copy uploaded in PDF format should not exceed 200 KB in size.","Identity proof i.e. Aadhaar Card, Voter ID Card
Income Proof Certificate
Below Poverty Line Card (If applicable)
Residence proof
Disability Certificate from Competent Authority
Barcoded Ration Card (if applicable)
Savings Account Bank Passbook or Cancelled Check (if applicable)",
AGR 4 (Farm Mechanization) Scheme For SC Farmers,https://www.myscheme.gov.in/schemes/agr4fmsscf,Gujarat,"Agriculture,Rural & Environment","The scheme “AGR 4 (Farm Mechanization) Scheme for SC Farmers” was started by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat. Under the scheme, financial assistance is given to the farmers of the Scheduled Caste category for the purchase of agricultural equipment to increase production of agricultural crops.
          The state government has launched the scheme to make agricultural industries successful through the use of agricultural mechanization. The farmer can get good quality and more farm produce at low cost by maximizing and utilizing natural, unimplemented sources such as land, water, and atmosphere due to agricultural mechanization. Thus, in order to increase agricultural mechanization, the scheme is started the state except in 208 talukas of the state where the Centrally Sponsored ""Submissions on Agricultural Mechanization"" scheme has already been implemented. This scheme is 100% sponsored by the state government.","1.	The beneficiary will get financial assistance for the purchase of agricultural equipment/components such as Power Tillers, Rice Transplanter, Self-Propelled Machinery, Tractor/Power Tiller operated Implements /tools, Electric Motor operated, etc.","The beneficiary should be a permanent resident of Gujarat State.
Any farmer of the state belonging to the Scheduled Caste category (in 208 talukas where the SMAM scheme is not implemented) is eligible under this scheme.
The beneficiary farmer has to purchase from the authorized dealer of the manufacturer included in the panel prepared for the purpose of price discovery announced by the account from time to time.","Online
Step 01: To avail the benefits of the scheme, the beneficiary has to apply online at I-Khedut Portal. https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm_Public_SchemeDetails.aspx﻿
Step 02: Click on “Click here for details” in the Farming Schemes Section.
Step 03: Now, the applicant needs to select the desired scheme component on the portal. (The Apply button will appear automatically in components that are currently accepting applications.)
Step 04: Read the instruction carefully and choose the option ‘Yes’ or ‘No’ for “Are you a registered applicant?” and click on “Click to proceed”.
Step 05: Click on the ""Click to Apply Newly"" button and submit a new application.
Step 06: Click on the ""Click to Update Application"" button to add corrections to the application.
Step 07: Click on ""Click to confirm the application"" and confirm the application. Once the application is done, confirm it. Confirmation is required after saving the application. Only confirmed applications will be considered. Unconfirmed applications will not be considered taken on ikhedut portal.
Step 08: Take a printout of the confirmed application. The applicant has to take a printout of this application and keep it for further reference.
Note 09: For this scheme, the District Agriculture Officer of the concerned district has to be contacted whose information is available on i-khedut portal. https://ikhedut.gujarat.gov.in/Public/frm_Public_Contacts.aspx﻿
﻿

Note 01: On-line application is required to be submitted on the portal during the prescribed time.
Note 02: Pre-approval for purchase is given as per the application and you purchase the equipment/materials as per the pre-approval within the stipulated time frame as per the rules, all the supporting evidence mentioned in the pre-approval order and the supporting evidence along with the signed copy of this application have to be submitted along with the assistance proposal.
Note 03: If wrong/incomplete documents are uploaded online by the beneficiary, such application will not be inwarded online. In such circumstances, the beneficiary has to submit the remaining/correct documents to the concerned office within seven days of application.
Note 04: After the application is confirmed, the application will not be updated.
Note 05: The print of the application can be taken only after the application is confirmed.","Government-approved photo ID i.e. Aadhaar Card
Basis (evidence) for land (if applicable)
Caste Certificate (by competent authority)
Disability Certificate from Competent Authority (only for disabled) (if applicable)
Ration Card (if applicable)
Bank account details
Beneficiary's Undertaking/Consent Form",
Scheme For Subsidy On Interest For Establishment Of 1 To 20 Milch Animal Farm For Scheduled Tribe,https://www.myscheme.gov.in/schemes/ssiemafst,Gujarat,"Agriculture,Rural & Environment","The scheme “Scheme for Subsidy on Interest for Establishment of 1 to 20 Milch Animal Farm for Scheduled Tribe” was started by the Dept. of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat. Under the scheme, the small and poor farmers of the Scheduled Tribe category of Gujarat State can purchase 1 to 20 animals as per their need and capacity to maintain. The eligible beneficiary can get an interest subsidy @ 12 % interest on a bank loan amount for 5 years if he/she has obtained a loan for setting up the unit in the current financial year 2023-24 through a nationalized bank or a financial institution approved by the Reserve Bank of India.
            It also provides good-quality organic manure for improving crop fertility & crop yields. Dung is also used as fuel for domestic purposes. The surplus fodder agricultural by-products are utilized by animals & converted into value-added products viz. Milk, Meat, etc.","The beneficiary can purchase 1 to 20 Milch animals (Any dairy animal cow & buffalo) at a subsidized rate as per their need and capacity to maintain.
The applicant can get an interest subsidy @ 12 % interest on the bank loan amount for 5 years.
Note 01: The interest calculated by the bank or a maximum of 12% on the unit cost of the animal or the loan per unit advanced by the bank to purchase the animal, whichever is lower.
Note 02: The amount of interest subvention will be deposited in the beneficiary's loan account in the form of a Direct Benefit Transfer (DBT) in installments. There will be no cash assistance for any of the beneficiaries.","The applicant should be a permanent resident of Gujarat State.
The applicant should belong to the Scheduled Tribe category only.
The benefit of this scheme will be available to the small and poor farmers of Gujarat State.
The applicant will be eligible for assistance only if he/she has obtained a loan for setting up the unit in the current financial year 2023-24 through a nationalized bank or a financial institution approved by the Reserve Bank of India.
Note 01: The land should be owned by a member of the family or a beneficiary of the scheme.
Note 02: The grant made under this Act may not be used for any other purpose and shall be paid annually.
Note 03: The scheme shall provide for the establishment of a unit of livestock (cows and buffaloes) by obtaining a certificate from the Animal Husbandry Authority.","Online
Step 01: The beneficiary has to apply online at I-Khedut Portal. https://ikhedut.gujarat.gov.in/iKhedutPublicScheme/Public/frm_Public_ANH2_SchemeApplicaiton.aspx﻿
Step 02: Click on the ""Apply New"" button and submit a new application.
Step 03: Click on the ""Update Application"" button to add corrections to the application.
Step 04: Click on the ""Upload Document"" button to upload all the relevant documents.
Step 05: Once the application is done, confirm it. The application must be confirmed within seven days from the date of saving the online application.
Step 06: The application must be signed and submitted along with the supporting documents to the office address mentioned on the application” or “Application confirmed within seven days from the date of saving the online application Scanned copy of the application and other documents can be uploaded after confirming the application
Step 07: Take a printout of the confirmed application.
﻿

Note 01: The application will be inwardly taken online by the concerned officer/office only if the correct and sufficient documents are uploaded along with the application signed/fingerprinted by the beneficiary.
Note 02: If wrong/incomplete documents are uploaded online by the beneficiary, such application will not be inwarded online. In such circumstances, the beneficiary has to submit the remaining/correct documents to the concerned office within seven days of application.
Note 03: Scanned copy uploaded in PDF format should not exceed 200 KB in size.","Government-approved photo ID i.e. Aadhaar Card, Voter ID Card
Basis (evidence) for land (if applicable)
Caste Certificate (by competent authority)
Disability Certificate from Competent Authority (only for disabled) (if applicable)
Ration Card (if applicable)
Bank account details
Beneficiary's Undertaking/Consent Form
Loan account passbook or bank disbursement certificate",
Subsidy Scheme On Establishment Of 25 R.I.R. Birds' Unit For Weaker Section,https://www.myscheme.gov.in/schemes/sse25rbuwse,Gujarat,"Agriculture,Rural & Environment, Business & Entrepreneurship","The scheme “Subsidy Scheme on Establishment of 25 R.I.R. Birds' Unit for Weaker Section” was launched by the Department of Agriculture, Farmers Welfare & Co-operation, Government of Gujarat to provide employment, nutritious diet and to raise the income of weaker section people of the society. Under this scheme, beneficiaries will be given 25 R.I.R bird units and a subsidy will be given 75% (maximum ₹4500/- in the form of birds and poultry feed).
Terms and conditions of the scheme:-
•	Eligible applications will be sanctioned by Regional Joint Director.
•	Beneficiary will have to manage to keep the birds safe during night hours.
•	The birds will be given vaccination regularly.
•	As and when birds get infected, they should be given treatment immediately.
•	As and when the Government officer visits the farm the beneficiary will have to show income and expenditure statement.
•	In normal cases the unit will have to maintain for two years.
•	In all terms and conditions final authority will be the Director of Animal Husbandry, Gujarat State, Gandhinagar.","The beneficiary will be given 25 R.I.R birds' unit along with poultry feed.
The subsidy will be given 75% (maximum ₹4500/- in the form of birds and poultry feed)
Under the scheme, the birds will be given vaccination regularly.","The benefits of this scheme will only be given to the adult of the economically weaker section people of the society of Gujarat state.
The beneficiary will have to provide income proof along with the application.
Females and beneficiaries below the poverty line will be given priority.
The beneficiary should have taken poultry-keeping training.","Offline
Step 01: The applicant needs to visit the nearest Intensive Poultry Development Project Office or District Poultry Extension Centre and collect the application form.
Step 02: Fill in all the mandatory fields of the application form, attach all the (self-attested) required documents, and submit it to the designated receiving authority.
Step 03: After successful verification, the applicant can avail the benefit of the scheme.","Identity proof i.e. Aadhaar Card, Voter ID Card
Income Certificate
Below Poverty Line Card (If applicable)
Residence proof
Category Certificate (If applicable)",
"Coaching Assistance Scheme For Scheduled Caste Students For Pre-Exam Preparation Like NEET, JEE, GUJCET",https://www.myscheme.gov.in/schemes/casscsppnjg,Gujarat,Education & Learning,"The scheme “Coaching Assistance Scheme for Scheduled Caste Students for Pre-Exam Preparation like NEET, JEE, GUJCET” was launched by the Government of Gujarat during the year 2014-15 to provide coaching assistance to the students of the Scheduled Caste category who are preparing for exams like NEET, JEE, GUJCET.
        The scheme is being implemented for the development of Scheduled Castes of Gujarat State by the Director, of Scheduled Caste Welfare.","Under this scheme, ₹20000/- or the actual fee to be paid whichever is less.
The assistance amount is directly credited to the student's bank account through DBT (Direct Benefit Transfer).","Eligibility Criteria of the Student:
1.	Students should be of Scheduled Caste.
2.	There is no income limit for students.
3.	Students for preparation of exams like NEET, JEE, and GUJCET with 70% or more marks in Std. 10 and must be studying in Std. 12 (Science stream).
Eligibility Criteria of the Institute:
1.	The organization should have more than three years of experience.
2.	The organization should have a GST number/PAN card.
3.	Institutions should have biometric (fingerprint) machines for student attendance.
4.	Faculty for NEET, and JEE who should have done M.Sc. in that subject.
5.	The training institute should be registered under any one of the following Acts.
•	Mumbai Public Trust Act, 1950
•	Companies Act, 1956
•	Shop and Establishment Act, 1948 (Shops and Institutions Act, 1948)","Offline
Step 1: To avail the benefits of the scheme, the students need to visit the nearest Office of Deputy Director, Office of Scheduled Caste Welfare. Further, the application form may be collected from the concerned office or downloaded from the official website.
Step 2: In the application form, fill in all the mandatory fields, paste the passport-sized, and attach all the mandatory documents.
Step 3: Submit the application form along with the documents to the concerned office.
Step 4: After successful verification, the student can avail benefits of the scheme and the assistance amount is directly credited to the student's bank account through DBT (Direct Benefit Transfer).","Aadhaar Card
Educational Certificates
Caste Certificate
Ration Card
12th certificate about studying in the school
Cancel cheque/the first page of the bank passbook
Passport-size photograph
Certificate from the institute in which students want to study
Any other documents as asked by the concerned office",
Educational Award Scheme - Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/eas-glwb,Gujarat,"Education & Learning, Social welfare & Empowerment","The “Educational Award Scheme” is implemented by the Gujarat Labour Welfare Board, Labour, Skill Development & Employment Department, Government of Gujarat. The scheme has been implemented to encourage the students of the Labours to increase their enthusiasm and to get higher education through it.","Under the scheme, children of laborers who have passed 70% or above marks in the 10th Standard will receive ₹2,500/- as an award.
The children of laborers who have passed 70% or above marks in the 12th Standard will receive ₹5,000/- as an award.","Only the children (students) whose parents are working in a factory/institute in the state of Gujarat and whose parents have been paying the Labour Welfare Fund will be eligible for this scheme.
The children of labourers who have passed 70% and above marks in the 10th or 12th Standard can avail the benefits under the scheme.","Online
Step 01: The applicant may visit the Sanman Portal: https://sanman.gujarat.gov.in/﻿
Step 02: On the home page, under the tab ‘Citizen Login’, click on ‘Please Register Here’.
Step 03: Enter your Aadhaar Card Number, select user type, and then enter Labour Welfare Fund Account Number.
Step 04: Now, click on ‘Fetch’ & verify the details.
Step 05: Enter user details and Password.
Step 06: After successful registration, the applicants can login through their User ID and Password.
Step 07: Now, select the scheme and read the instructions carefully for the selected scheme.
Step 08: Fill out the application form and upload all the relevant documents.
Step 09: Agree with the Rules & Regulations and submit the application form. A confirmation email with the application Number will be sent on the registered email ID.","Passport-size Photograph
ID Card of Labour
Aadhaar Card of Labour
Labour Welfare Fund Account Number
Ration Card
Caste Category certificate, if applicable
Residence proof
Bank account details/Bank Passbook
Marksheet of Child/Passing Certificate
Identity proof of Child i.e. Aadhaar Card
Any other documents as required",
Shramyogi Home Town Scheme- Gujarat Labour Welfare Board,https://www.myscheme.gov.in/schemes/smts-glwb,Gujarat,Social welfare & Empowerment,"The “Shramyogi Home Town Scheme” is implemented by the Gujarat Labour Welfare Board, Labour, Skill Development & Employment Department, Government of Gujarat. The objective of the scheme is to facilitate the payment of railway fares for migrant labourers employed in the organized sector in Gujarat, enabling them to travel to or from their home country to the nearest railway station.
         Considering the stagnant pace of industrial development in the state of Gujarat, some labourers come from other regions for livelihood. Most of these Shramyogis live away from their families. Due to social or accidental reasons, the economic burden of going to and from the labourers to their native place cannot be compensated by short salary. Hence, the plan for a labourer to visit his hometown once in two years.","Under the scheme, migrant laborers employed in the organized sector can avail of payment for railway fare to travel to or from their home country, to the nearest railway station.
Note: The assistance amount will be credited to the beneficiary's bank account through DBT.","The worker/labour should have been working continuously with the company in Gujarat for one year and his/her labour welfare fund should have been deposited in the board to avail the benefits under the scheme.
The benefit of this scheme will be provided once within a block of two years. Currently, the block years are set as 2022-23 and 2023-24.
If both the husband/wife are employed, only one of the beneficiaries will get the benefit of this scheme.
A Shram Yogi shall travel only after obtaining prior approval by applying prior to travel.
Within one month of the completion of the tour, necessary proofs along with in-principle approval have to be submitted by the worker/labour.","Online
Application Process for Scheme Benefit:
Step 01: The applicant may visit the Sanman Portal: https://sanman.gujarat.gov.in/﻿
Step 02: On the home page, under the tab ‘Citizen Login’, click on ‘Please Register Here’.
Step 03: Enter your Aadhaar Card Number, select user type, and then enter your Labour Welfare Fund Account Number.
Step 04: Now, click on ‘Fetch’ & verify the details.
Step 05: Enter user details and Password.
Step 06: After successful registration, the applicants can login through their User ID and Password.
Step 07: Now, select the scheme and read the instructions carefully for the selected scheme.
Step 08: Fill out the application form and upload all the relevant documents.
Step 09: Agree with the Rules & Regulations and submit the application form. A confirmation email with the application Number will be sent on the registered email ID.","Passport-size Photograph
A copy of the identity card issued by the contractor to the worker/labour
Aadhaar Card of Labour
Labour Welfare Fund Account Number
Valid proof of travel to hometown
Bank account details/Bank Passbook
﻿Bonafide certificate﻿
Any other documents as required",
